lat,lon,n,r_plant_km,r_cover_km,area_km2,emissions_t,capacity,subsector
51.09020,3.44690,1,0.000,2.000,0.5027,64906.0000,18.0000,electricity-generation
50.42332,4.40215,4,3.558,5.558,39.7657,976875.2266,18792243.5298,electricity-generation
50.44154,4.63933,4,8.166,10.166,209.4818,653670.3472,164439600.1237,glass
50.61396,5.55454,4,10.127,12.127,322.1763,754385.0000,824.5000,electricity-generation
50.90703,3.28809,4,5.584,7.584,97.9717,89576.5454,18723537.5243,electricity-generation
51.32226,4.85300,2,0.427,2.427,0.5735,204211.0000,65.0000,electricity-generation
51.25649,4.33121,10,10.870,12.870,371.2002,9492394.9820,742952.8872,electricity-generation
51.34991,4.26934,9,7.147,9.147,160.4639,2312968.7500,125346.2888,electricity-generation
50.53050,5.20860,1,0.000,2.000,0.5027,0.0000,26.0000,electricity-generation
50.92465,4.42005,2,1.890,3.890,11.2177,0.0000,0.0000,electricity-generation
49.55183,5.50540,2,0.175,2.175,0.5027,188702.9900,38202.3541,electricity-generation
50.24440,5.93020,1,0.000,2.000,0.5027,61300.0000,17.0000,electricity-generation
50.73030,3.85310,1,0.000,2.000,0.5027,64906.0000,18.0000,electricity-generation
50.80230,4.29900,1,0.000,2.000,0.5027,332961.0000,553.0000,electricity-generation
50.93309,5.51202,2,1.628,3.628,8.3283,87360.5917,101917.8082,electricity-generation
51.08066,3.73144,4,6.645,8.645,138.7308,590885.0000,796.1000,electricity-generation
51.16935,3.80744,3,2.252,4.252,15.9286,11098039.7187,441976.8356,electricity-generation
51.27738,3.20478,3,8.255,10.255,214.1039,329242.0000,484.2000,electricity-generation
50.95480,2.81030,1,0.000,2.000,0.5027,64906.0000,18.0000,electricity-generation
